date,package,title
2022-05-13 ,unifir,A Unifying API for Calling the 'Unity' '3D' Video Game Engine 
2022-05-13 ,unmarked,Models for Data from Unmarked Animals 
2022-05-13 ,vein,Vehicular Emissions Inventories 
2022-05-13 ,ycevo,Nonparametric Estimation of the Yield Curve Evolution 
2022-05-12 ,APML,An Approach for Machine-Learning Modelling 
2022-05-12 ,BCE,Bayesian Composition Estimator: Estimating Sample (Taxonomic) Composition from Biomarker Data 
2022-05-12 ,BCT,Bayesian Context Trees for Discrete Time Series 
2022-05-12 ,biogeom,Biological Geometries 
2022-05-12 ,CARBayes,Spatial Generalised Linear Mixed Models for Areal Unit Data 
2022-05-12 ,CARBayesdata,Data Used in the Vignettes Accompanying the CARBayes and CARBayesST Packages 
2022-05-12 ,CARBayesST,Spatio-Temporal Generalised Linear Mixed Models for Areal Unit Data 
2022-05-12 ,causalDisco,Tools for Causal Discovery on Observational Data 
2022-05-12 ,COMIX,Coarsened Mixtures of Hierarchical Skew Kernels 
2022-05-12 ,CopSens,Copula-Based Sensitivity Analysis for Observational Causal Inference 
2022-05-12 ,currentSurvival,Estimation of CCI and CLFS Functions 
2022-05-12 ,declared,Functions to Declare Missing Values 
2022-05-12 ,distill,'R Markdown' Format for Scientific and Technical Writing 
2022-05-12 ,FIESTAutils,Utility Functions for Forest Inventory Estimation and Analysis 
2022-05-12 ,FloodFreqPlot,Flood Probability Plotting and Graphical Frequency Analysis 
2022-05-12 ,FRESHD,Fast Robust Estimation of Signals in Heterogeneous Data 
2022-05-12 ,geiger,Analysis of Evolutionary Diversification 
2022-05-12 ,GenericML,Generic Machine Learning Inference 
2022-05-12 ,geosptdb,"Spatio-Temporal Radial Basis Functions with Distance-Based Methods (Optimization, Prediction and Cross Validation) "
2022-05-12 ,getwiki,R Wrapper for Wikipedia Data 
2022-05-12 ,GLDEX,Fitting Single and Mixture of Generalised Lambda Distributions 
2022-05-12 ,gRim,Graphical Interaction Models 
2022-05-12 ,iml,Interpretable Machine Learning 
2022-05-12 ,immcp,Poly-Pharmacology Toolkit for Traditional Chinese Medicine Research 
2022-05-12 ,IPEDSuploadables,Transforms Institutional Data into Text Files for IPEDS Automated Import/Upload 
2022-05-12 ,irtoys,A Collection of Functions Related to Item Response Theory (IRT) 
2022-05-12 ,kmodR,K-Means with Simultaneous Outlier Detection 
2022-05-12 ,lba,Latent Budget Analysis for Compositional Data 
2022-05-12 ,metrica,Prediction Performance Metrics 
2022-05-12 ,mlr3fairness,Fairness Auditing and Debiasing for 'mlr3' 
2022-05-12 ,molaR,Dental Surface Complexity Measurement Tools 
2022-05-12 ,nlmixr2est,"Nonlinear Mixed Effects Models in Population PK/PD, Estimation Routines "
2022-05-12 ,pbANOVA,Parametric Bootstrap for ANOVA Models 
2022-05-12 ,pheno,Auxiliary Functions for Phenological Data Analysis 
2022-05-12 ,PMA2,Penalized Multivariate Analysis 
2022-05-12 ,PUPAIM,A Collection of Physical and Chemical Adsorption Isotherm Models 
2022-05-12 ,rdnb,R Interface to the 'Deutsche Nationalbibliothek (German National Library) API' 
2022-05-12 ,robflreg,Robust Functional Linear Regression 
2022-05-12 ,rTG,Methods to Analyse Seasonal Radial Tree Growth Data 
2022-05-12 ,rvHPDT,Calling Haplotype-Based and Variant-Based Pedigree Disequilibrium Test for Rare Variants in Pedigrees 
2022-05-12 ,s3.resourcer,S3 Resource Resolver 
2022-05-12 ,sas7bdat,sas7bdat Reverse Engineering Documentation 
2022-05-12 ,simer,Data Simulation for Life Science and Breeding 
2022-05-12 ,sspm,Spatial Surplus Production Model Framework for Northern Shrimp Populations 
2022-05-12 ,stacks,Tidy Model Stacking 
2022-05-12 ,StereoMorph,Stereo Camera Calibration and Reconstruction 
2022-05-12 ,subscreen,Systematic Screening of Study Data for Subgroup Effects 
2022-05-12 ,superml,Build Machine Learning Models Like Using Python's Scikit-Learn Library in R 
2022-05-12 ,svrep,"Tools for Creating, Updating, and Analyzing Survey Replicate Weights "
2022-05-11 ,ActCR,Extract Circadian Rhythms Metrics from Actigraphy Data 
2022-05-11 ,bbmle,Tools for General Maximum Likelihood Estimation 
2022-05-11 ,BET,Binary Expansion Testing 
2022-05-11 ,BGLR,Bayesian Generalized Linear Regression 
2022-05-11 ,blavaan,Bayesian Latent Variable Analysis 
2022-05-11 ,box,"Write Reusable, Composable and Modular R Code "
2022-05-11 ,camtrapR,Camera Trap Data Management and Preparation of Occupancy and Spatial Capture-Recapture Analyses 
2022-05-11 ,ccpsyc,Methods for Cross-Cultural Psychology 
2022-05-11 ,cncaGUI,Canonical Non-Symmetrical Correspondence Analysis in R 
2022-05-11 ,comf,Models and Equations for Human Comfort Research 
2022-05-11 ,Compositional,Compositional Data Analysis 
2022-05-11 ,corpustools,"Managing, Querying and Analyzing Tokenized Text "
2022-05-11 ,ecolMod,"""A Practical Guide to Ecological Modelling - Using R as a Simulation Platform"" "
2022-05-11 ,eventdataR,Event Data Repository 
2022-05-11 ,filehashSQLite,Simple Key-Value Database Using SQLite 
2022-05-11 ,fitHeavyTail,Mean and Covariance Matrix Estimation under Heavy Tails 
2022-05-11 ,fsdaR,Robust Data Analysis Through Monitoring and Dynamic Visualization 
2022-05-11 ,gamboostLSS,Boosting Methods for 'GAMLSS' 
2022-05-11 ,GeoWeightedModel,User-Friendly Interface for Geographically-Weighted Models 
2022-05-11 ,GetTDData,Get Data for Brazilian Bonds (Tesouro Direto) 
2022-05-11 ,glmmLasso,Variable Selection for Generalized Linear Mixed Models by L1-Penalized Estimation 
2022-05-11 ,influence.SEM,Case Influence in Structural Equation Models 
2022-05-11 ,krippendorffsalpha,Measuring Agreement Using Krippendorff's Alpha Coefficient 
2022-05-11 ,LA,Lioness Algorithm (LA) 
2022-05-11 ,latentnet,Latent Position and Cluster Models for Statistical Networks 
2022-05-11 ,LDlinkR,Calculating Linkage Disequilibrium (LD) in Human Population Groups of Interest 
2022-05-11 ,LIM,Linear Inverse Model Examples and Solution Methods 
2022-05-11 ,LS2Wstat,A Multiscale Test of Spatial Stationarity for LS2W Processes 
2022-05-11 ,maskRangeR,Mask Species Geographic Ranges 
2022-05-11 ,MixGHD,"Model Based Clustering, Classification and Discriminant Analysis Using the Mixture of Generalized Hyperbolic Distributions "
2022-05-11 ,mnorm,Multivariate Normal Distribution 
2022-05-11 ,modQR,Multiple-Output Directional Quantile Regression 
2022-05-11 ,multibiplotGUI,Multibiplot Analysis in R 
2022-05-11 ,multispatialCCM,Multispatial Convergent Cross Mapping 
2022-05-11 ,NetIndices,"Estimating Network Indices, Including Trophic Structure of Foodwebs in R "
2022-05-11 ,OneSampleMR,One Sample Mendelian Randomization and Instrumental Variable Analyses 
2022-05-11 ,PCRedux,Quantitative Polymerase Chain Reaction (qPCR) Data Mining and Machine Learning Toolkit 
2022-05-11 ,pdp,Partial Dependence Plots 
2022-05-11 ,penalizedSVM,Feature Selection SVM using Penalty Functions 
2022-05-11 ,prevR,Estimating Regional Trends of a Prevalence from a DHS and Similar Surveys 
2022-05-11 ,PSweight,Propensity Score Weighting for Causal Inference with Observational Studies and Randomized Trials 
2022-05-11 ,r2d2,Bivariate (Two-Dimensional) Confidence Region and Frequency Distribution 
2022-05-11 ,RankResponse,Ranking Responses in a Single Response Question or a Multiple Response Question 
2022-05-11 ,Rcgmin,Conjugate Gradient Minimization of Nonlinear Functions with Box Constraints 
2022-05-11 ,reticulate,Interface to 'Python' 
2022-05-11 ,rnetcarto,Fast Network Modularity and Roles Computation by Simulated Annealing (Rgraph C Library Wrapper for R) 
2022-05-11 ,schtools,Schloss Lab Tools for Reproducible Microbiome Research 
2022-05-11 ,SearchTrees,Spatial Search Trees 
2022-05-11 ,SECP,Statistical Estimation of Cluster Parameters 
2022-05-11 ,shinyWidgets,Custom Inputs Widgets for Shiny 
2022-05-11 ,soiltestcorr,Soil Test Correlation and Calibration 
2022-05-11 ,SpiceFP,Sparse Method to Identify Joint Effects of Functional Predictors 
2022-05-11 ,stanette,R Interface to Stan 
2022-05-11 ,stdmod,Standardized Moderation Effect and Its Confidence Interval 
2022-05-11 ,stplanr,Sustainable Transport Planning 
2022-05-11 ,superb,Summary Plots with Adjusted Error Bars 
2022-05-11 ,themis,Extra Recipes Steps for Dealing with Unbalanced Data 
2022-05-11 ,transforEmotion,Sentiment Analysis for Text and Qualitative Data 
2022-05-11 ,transfR,Transfer of Hydrograph from Gauged to Ungauged Catchments 
2022-05-11 ,TreeSearch,Phylogenetic Analysis with Morphological Data 
2022-05-11 ,upsetjs,'HTMLWidget' Wrapper of 'UpSet.js' for Exploring Large Set Intersections 
2022-05-11 ,wcde,Download Data from the Wittgenstein Centre Human Capital Data Explorer 
2022-05-10 ,BayesRGMM,Bayesian Robust Generalized Mixed Models for Longitudinal Data 
2022-05-10 ,BEKKs,Multivariate Conditional Volatility Modelling and Forecasting 
2022-05-10 ,Bhat,General Likelihood Exploration 
2022-05-10 ,bidask,"Efficient Estimation of Bid-Ask Spreads from Open, High, Low, and Close Prices "
2022-05-10 ,bizdays,Business Days Calculations and Utilities 
2022-05-10 ,blogdown,Create Blogs and Websites with R Markdown 
2022-05-10 ,bp,Blood Pressure Analysis in R 
2022-05-10 ,Canek,Batch Correction of Single Cell Transcriptome Data 
2022-05-10 ,cansim,Accessing Statistics Canada Data Table and Vectors 
2022-05-10 ,CCAMLRGIS,Antarctic Spatial Data Manipulation 
2022-05-10 ,circlize,Circular Visualization 
2022-05-10 ,DGEobj,Differential Gene Expression (DGE) Analysis Results Data Object 
2022-05-10 ,DGEobj.utils,Differential Gene Expression (DGE) Analysis Utility Toolkit 
2022-05-10 ,DNMF,Discriminant Non-Negative Matrix Factorization 
2022-05-10 ,dostats,Compute Statistics Helper Functions 
2022-05-10 ,DT,A Wrapper of the JavaScript Library 'DataTables' 
2022-05-10 ,EGAnet,Exploratory Graph Analysis – a Framework for Estimating the Number of Dimensions in Multivariate Data using Network Psychometrics 
2022-05-10 ,ergm,"Fit, Simulate and Diagnose Exponential-Family Models for Networks "
2022-05-10 ,forceR,Force Measurement Analyses 
2022-05-10 ,gdata,Various R Programming Tools for Data Manipulation 
2022-05-10 ,ggblanket,Wrappers to Make Beautiful 'ggplot2' Visualisation Simpler 
2022-05-10 ,googleVis,R Interface to Google Charts 
2022-05-10 ,graDiEnt,Stochastic Quasi-Gradient Differential Evolution Optimization 
2022-05-10 ,gwrr,Fits Geographically Weighted Regression Models with Diagnostic Tools 
2022-05-10 ,HDtweedie,The Lasso for Tweedie's Compound Poisson Model Using an IRLS-BMD Algorithm 
2022-05-10 ,httr2,Perform HTTP Requests and Process the Responses 
2022-05-10 ,hybridEnsemble,"Build, Deploy and Evaluate Hybrid Ensembles "
2022-05-10 ,independenceWeights,Estimates Weights for Confounding Control for Continuous-Valued Exposures 
2022-05-10 ,intccr,Semiparametric Competing Risks Regression under Interval Censoring 
2022-05-10 ,interp,Interpolation Methods 
2022-05-10 ,jpstat,Tools for Easy Use of 'e-Stat' API 
2022-05-10 ,JWileymisc,Miscellaneous Utilities and Functions 
2022-05-10 ,leaflet.extras2,Extra Functionality for 'leaflet' Package 
2022-05-10 ,lemna,Lemna Ecotox Effect Model 
2022-05-10 ,MLMusingR,Practical Multilevel Modeling 
2022-05-10 ,msgps,"Degrees of Freedom of Elastic Net, Adaptive Lasso and Generalized Elastic Net "
2022-05-10 ,mvtsplot,Multivariate Time Series Plot 
2022-05-10 ,N2H4,Handling Methods for Naver News Text Crawling 
2022-05-10 ,nanonext,NNG (Nanomsg Next Gen) Lightweight Messaging Library 
2022-05-10 ,nbc4va,Bayes Classifier for Verbal Autopsy Data 
2022-05-10 ,onlineforecast,Forecast Modelling for Online Applications 
2022-05-10 ,optimx,Expanded Replacement and Extension of the 'optim' Function 
2022-05-10 ,pacs,Supplementary Tools for R Packages Developers 
2022-05-10 ,phers,Calculate Phenotype Risk Scores 
2022-05-10 ,PHInfiniteEstimates,Tools for Inference in the Presence of a Monotone Likelihood 
2022-05-10 ,PL94171,Tabulate P.L. 94-171 Redistricting Data Summary Files 
2022-05-10 ,plotwidgets,"Spider Plots, ROC Curves, Pie Charts and More for Use in Other Plots "
2022-05-10 ,poisDoubleSamp,Confidence Intervals with Poisson Double Sampling 
2022-05-10 ,PopulationGrowthR,Linear Population Growth Scenarios 
2022-05-10 ,psych,"Procedures for Psychological, Psychometric, and Personality Research "
2022-05-10 ,psychTools,Tools to Accompany the 'psych' Package for Psychological Research 
2022-05-10 ,pwlmm,PWIGLS for Two-Level Multivariate and Multilevel Linear Models 
2022-05-10 ,rb3,Download and Parse Public Data Released by B3 Exchange 
2022-05-10 ,rdecision,Decision Analytic Modelling in Health Economics 
2022-05-10 ,rego,Automatic Time Series Forecasting and Missing Value Imputation 
2022-05-10 ,regport,Regression Model Processing Port 
2022-05-10 ,riot,R Inputs/Outputs for Tractography 
2022-05-10 ,rmapshaper,Client for 'mapshaper' for 'Geospatial' Operations 
2022-05-10 ,rstpm2,"Smooth Survival Models, Including Generalized Survival Models "
2022-05-10 ,saeHB.panel,Small Area Estimation using Hierarchical Bayesian Method for Rao Yu Model 
2022-05-10 ,sasLM,'SAS' Linear Model 
2022-05-10 ,schoolmath,Functions and Datasets for Math Used in School 
2022-05-10 ,semTools,Useful Tools for Structural Equation Modeling 
2022-05-10 ,shinybusy,Busy Indicators and Notifications for 'Shiny' Applications 
2022-05-10 ,squashinformr,Politely Web Scrape Data from SquashInfo 
2022-05-10 ,stagePop,Modelling the Population Dynamics of a Stage-Structured Species in Continuous Time 
2022-05-10 ,statespacer,State Space Modelling in 'R' 
2022-05-10 ,streamMOA,Interface for MOA Stream Clustering Algorithms 
2022-05-10 ,svDialogs,"'SciViews' - Standard Dialog Boxes for Windows, MacOS and Linuxes "
2022-05-10 ,svDialogstcltk,'SciViews' - Standard Dialog Boxes using Tcl/Tk 
2022-05-10 ,svHttp,'SciViews' - HTTP Server 
2022-05-10 ,svKomodo,'SciViews' - Functions to Interface with Komodo IDE 
2022-05-10 ,svSweave,"'SciViews' - 'Sweave', 'Knitr' and R Markdown Companion Functions "
2022-05-10 ,thriftr,Apache Thrift Client Server 
2022-05-10 ,Tratamentos.ad,Pacote Para Analise De Experimentos Com Testemunhas Adicionais 
2022-05-10 ,tsModel,Time Series Modeling for Air Pollution and Health 
2022-05-10 ,VARDetect,Multiple Change Point Detection in Structural VAR Models 
2022-05-10 ,wikibooks,"Functions and Datasets of the German WikiBook ""GNU R"" "
2022-05-10 ,wTO,Computing Weighted Topological Overlaps (wTO) & Consensus wTO Network 
2022-05-10 ,xfun,Supporting Functions for Packages Maintained by 'Yihui Xie' 
2022-05-09 ,accrualPlot,Accrual Plots and Predictions for Clinical Trials 
2022-05-09 ,arrow,Integration to 'Apache' 'Arrow' 
2022-05-09 ,astsa,Applied Statistical Time Series Analysis 
2022-05-09 ,barcode,Render Barcode Distribution Plots 
2022-05-09 ,BayesTools,Tools for Bayesian Analyses 
2022-05-09 ,BDgraph,Bayesian Structure Learning in Graphical Models using Birth-Death MCMC 
2022-05-09 ,BE,Bioequivalence Study Data Analysis 
2022-05-09 ,betaBayes,Bayesian Beta Regression 
