date,package,title
2022-04-20 ,ConcordanceTest,An Alternative to the Kruskal-Wallis Based on the Kendall Tau Distance 
2022-04-20 ,contFracR,Continued Fraction Generators and Evaluators 
2022-04-20 ,criticality,Modeling Fissile Material Operations in Nuclear Facilities 
2022-04-20 ,DemographicTable,Creating Demographic Table 
2022-04-20 ,earthtide,Parallel Implementation of 'ETERNA 3.40' for Prediction and Analysis of Earth Tides 
2022-04-20 ,ftExtra,Extensions for 'Flextable' 
2022-04-20 ,gmvarkit,Estimate Gaussian and Student's t Mixture Vector Autoregressive Models 
2022-04-20 ,HCT,Calculates Significance Criteria and Power for a Single Arm Trial 
2022-04-20 ,hdImpute,A Batch Process for High Dimensional Imputation 
2022-04-20 ,iAR,Irregularly Observed Autoregressive Models 
2022-04-20 ,igraph,Network Analysis and Visualization 
2022-04-20 ,metatools,Enable the Use of 'metacore' to Help Create and Check Dataset 
2022-04-20 ,MFSIS,Moder-Free Sure Independent Screening Procedures 
2022-04-20 ,MHDA,Massive Hierarchically Data Analysis 
2022-04-20 ,mlflow,Interface to 'MLflow' 
2022-04-20 ,MLFS,Machine Learning Forest Simulator 
2022-04-20 ,multilateral,Generalised Function to Calculate a Variety of Multilateral Price Index Methods 
2022-04-20 ,naturaList,Classify Occurrences by Confidence Levels in the Species ID 
2022-04-20 ,paletteknife,Create Colour Scales and Legend from Continuous or Categorical Vectors 
2022-04-20 ,Rchoice,"Discrete Choice (Binary, Poisson and Ordered) Models with Random Parameters "
2022-04-20 ,RestRserve,A Framework for Building HTTP API 
2022-04-20 ,rgenoud,R Version of GENetic Optimization Using Derivatives 
2022-04-20 ,rnpn,Interface to the National 'Phenology' Network 'API' 
2022-04-20 ,RoBMA,Robust Bayesian Meta-Analyses 
2022-04-20 ,rsvg,"Render SVG Images into PDF, PNG, (Encapsulated) PostScript, or Bitmap Arrays "
2022-04-20 ,s2dverification,Set of Common Tools for Forecast Verification 
2022-04-20 ,sfdep,Spatial Dependence for Simple Features 
2022-04-20 ,SimInf,A Framework for Data-Driven Stochastic Disease Spread Simulations 
2022-04-20 ,sp,Classes and Methods for Spatial Data 
2022-04-20 ,starter,Starter Kit for New Projects 
2022-04-20 ,tangram.pipe,Row-by-Row Table Building 
2022-04-20 ,tglkmeans,Efficient Implementation of K-Means++ Algorithm 
2022-04-19 ,ade4,Analysis of Ecological Data: Exploratory and Euclidean Methods in Environmental Sciences 
2022-04-19 ,bayesZIB,Bayesian Zero-Inflated Bernoulli Regression Model 
2022-04-19 ,BipartiteModularityMaximization,Partition Bipartite Network into Non-Overlapping Biclusters by Optimizing Bipartite Modularity 
2022-04-19 ,boxplotdbl,Double Box Plot for Two-Axes Correlation 
2022-04-19 ,bspline,B-Spline Interpolation and Regression 
2022-04-19 ,caret,Classification and Regression Training 
2022-04-19 ,chromConverter,Chromatographic File Converter 
2022-04-19 ,chromote,Headless Chrome Web Browser Interface 
2022-04-19 ,Clustering,Techniques for Evaluating Clustering 
2022-04-19 ,diaplt,Beads Summary Plot of Ranges 
2022-04-19 ,Dire,Linear Regressions with a Latent Outcome Variable 
2022-04-19 ,elbird,Blazing Fast Morphological Analyzer Based on Kiwi(Korean Intelligent Word Identifier) 
2022-04-19 ,elliplot,Ellipse Summary Plot of Quantiles 
2022-04-19 ,energy,E-Statistics: Multivariate Inference via the Energy of Data 
2022-04-19 ,FisPro,Fuzzy Inference System Design and Optimization 
2022-04-19 ,FossilSim,Simulation of Fossil and Taxonomy Data 
2022-04-19 ,fragility,Assessing and Visualizing Fragility of Clinical Results with Binary Outcomes 
2022-04-19 ,freqdom.fda,Functional Time Series: Dynamic Functional Principal Components 
2022-04-19 ,fwildclusterboot,Fast Wild Cluster Bootstrap Inference for Linear Models 
2022-04-19 ,gdalUtilities,Wrappers for 'GDAL' Utilities Executables 
2022-04-19 ,glmx,Generalized Linear Models Extended 
2022-04-19 ,glogis,Fitting and Testing Generalized Logistic Distributions 
2022-04-19 ,GOxploreR,Structural Exploration of the Gene Ontology (GO) Knowledge Base 
2022-04-19 ,Hmisc,Harrell Miscellaneous 
2022-04-19 ,imola,CSS Layouts (Grid and Flexbox) Implementation for R/Shiny 
2022-04-19 ,Julia,Fractal Image Data Generator 
2022-04-19 ,matrixStats,Functions that Apply to Rows and Columns of Matrices (and to Vectors) 
2022-04-19 ,mclogit,"Multinomial Logit Models, with or without Random Effects or Overdispersion "
2022-04-19 ,MDFS,MultiDimensional Feature Selection 
2022-04-19 ,mixAK,Multivariate Normal Mixture Models and Mixtures of Generalized Linear Mixed Models Including Model Based Clustering 
2022-04-19 ,mlmts,Machine Learning Algorithms for Multivariate Time Series 
2022-04-19 ,mongolite,Fast and Simple 'MongoDB' Client for R 
2022-04-19 ,MSCquartets,Analyzing Gene Tree Quartets under the Multi-Species Coalescent 
2022-04-19 ,NADA2,Data Analysis for Censored Environmental Data 
2022-04-19 ,pagoda2,Single Cell Analysis and Differential Expression 
2022-04-19 ,pdftools,"Text Extraction, Rendering and Converting of PDF Documents "
2022-04-19 ,predieval,Assessing Performance of Prediction Models for Predicting Patient-Level Treatment Benefit 
2022-04-19 ,RandomFieldsUtils,Utilities for the Simulation and Analysis of Random Fields and Genetic Data 
2022-04-19 ,reReg,Recurrent Event Regression 
2022-04-19 ,rgoogleads,Loading Data from 'Google Ads API' 
2022-04-19 ,rhino,A Framework for Enterprise Shiny Applications 
2022-04-19 ,rjags,Bayesian Graphical Models using MCMC 
2022-04-19 ,rugarch,Univariate GARCH Models 
2022-04-19 ,sams,Merge-Split Samplers for Conjugate Bayesian Nonparametric Models 
2022-04-19 ,scrypt,Key Derivation Functions for R Based on Scrypt 
2022-04-19 ,sglr,"Sequential Generalized Likelihood Ratio Decision Boundaries Proposed by Shih, Lai, Heyse and Chen (2010, <doi:10.1002/Sim.4036>) "
2022-04-19 ,sp23design,Design and Simulation of Seamless Phase II-III Clinical Trials 
2022-04-19 ,SpatialExtremes,Modelling Spatial Extremes 
2022-04-19 ,stoppingrule,Create and Evaluate Stopping Rules 
2022-04-19 ,sudoku,Sudoku Puzzle Generator and Solver 
2022-04-19 ,survexp.fr,"Relative Survival, AER and SMR Based on French Death Rates "
2022-04-19 ,tarchetypes,Archetypes for Targets 
2022-04-19 ,targets,Dynamic Function-Oriented 'Make'-Like Declarative Workflows 
2022-04-19 ,unbalhaar,Function Estimation via Unbalanced Haar Wavelets 
2022-04-19 ,uuid,Tools for Generating and Handling of UUIDs 
2022-04-18 ,BurStFin,Burns Statistics Financial 
2022-04-18 ,cjar,R Client for 'Customer Journey Analytics' ('CJA') API 
2022-04-18 ,CorrMixed,"Estimate Correlations Between Repeatedly Measured Endpoints (E.g., Reliability) Based on Linear Mixed-Effects Models "
2022-04-18 ,CSHShydRology,Canadian Hydrological Analyses 
2022-04-18 ,difNLR,DIF and DDF Detection by Non-Linear Regression Models 
2022-04-18 ,DR.SC,Joint Dimension Reduction and Spatial Clustering 
2022-04-18 ,EnsemblePCReg,Extensible Package for Principal-Component-Regression-Based Heterogeneous Ensemble Meta-Learning 
2022-04-18 ,erer,Empirical Research in Economics with R 
2022-04-18 ,freqdom,Frequency Domain Based Analysis: Dynamic PCA 
2022-04-18 ,geometry,Mesh Generation and Surface Tessellation 
2022-04-18 ,hakaiApi,Authenticated HTTP Request Client for the 'Hakai' API 
2022-04-18 ,iBST,Improper Bagging Survival Tree 
2022-04-18 ,icensBKL,"Accompanion to the Book on Interval Censoring by Bogaerts, Komarek, and Lesaffre "
2022-04-18 ,MatrixCorrelation,Matrix Correlation Coefficients 
2022-04-18 ,monobin,Monotonic Binning for Credit Rating Models 
2022-04-18 ,morphemepiece.data,Data for Morpheme Tokenization 
2022-04-18 ,MoTBFs,Learning Hybrid Bayesian Networks using Mixtures of Truncated Basis Functions 
2022-04-18 ,od,Manipulate and Map Origin-Destination Data 
2022-04-18 ,paradox,Define and Work with Parameter Spaces for Complex Algorithms 
2022-04-18 ,plgp,Particle Learning of Gaussian Processes 
2022-04-18 ,refreg,Conditional Multivariate Reference Regions 
2022-04-18 ,RobStatTM,Robust Statistics: Theory and Methods 
2022-04-18 ,seasonal,R Interface to X-13-ARIMA-SEATS 
2022-04-18 ,shinylogs,Record Everything that Happens in a 'Shiny' Application 
2022-04-18 ,smoothSurv,Survival Regression with Smoothed Error Distribution 
2022-04-18 ,spatialreg,Spatial Regression Analysis 
2022-04-18 ,spatstat.data,Datasets for 'spatstat' Family 
2022-04-18 ,spatstat.sparse,Sparse Three-Dimensional Arrays and Linear Algebra Utilities 
2022-04-18 ,spdep,"Spatial Dependence: Weighting Schemes, Statistics "
2022-04-18 ,tidymv,Tidy Model Visualisation for Generalised Additive Models 
2022-04-18 ,ustfd,API Client for US Treasury Fiscal Data 
2022-04-18 ,yamlet,Versatile Curation of Table Metadata 
2022-04-17 ,broom.mixed,Tidying Methods for Mixed Models 
2022-04-17 ,CondiS,Censored Data Imputation for Direct Modeling 
2022-04-17 ,eha,Event History Analysis 
2022-04-17 ,FMC,Factorial Experiments with Minimum Level Changes 
2022-04-17 ,funchir,Convenience Functions by Michael Chirico 
2022-04-17 ,htsr,Hydro-Meteorology Time-Series 
2022-04-17 ,hutilscpp,Miscellaneous Functions in C++ 
2022-04-17 ,maptools,Tools for Handling Spatial Objects 
2022-04-17 ,oaxaca,Blinder-Oaxaca Decomposition 
2022-04-17 ,Rtsne,T-Distributed Stochastic Neighbor Embedding using a Barnes-Hut Implementation 
2022-04-17 ,shinyBS,Twitter Bootstrap Components for Shiny 
2022-04-17 ,sommer,Solving Mixed Model Equations in R 
2022-04-17 ,splancs,Spatial and Space-Time Point Pattern Analysis 
2022-04-17 ,vegan,Community Ecology Package 
2022-04-17 ,zebu,Local Association Measures 
2022-04-16 ,CAMAN,Finite Mixture Models and Meta-Analysis Tools - Based on C.A.MAN 
2022-04-16 ,cvap,Citizen Voting Age Population 
2022-04-16 ,detrendeR,A Graphical User Interface (GUI) to Visualize and Analyze Dendrochronological Data 
2022-04-16 ,exdex,Estimation of the Extremal Index 
2022-04-16 ,ggspectra,Extensions to 'ggplot2' for Radiation Spectra 
2022-04-16 ,googleTagManageR,Access the 'Google Tag Manager' API using R 
2022-04-16 ,GPArotation,GPA Factor Rotation 
2022-04-16 ,gte,Generalized Turnbull's Estimator 
2022-04-16 ,jenga,Fast Extrapolation of Time Features using K-Nearest Neighbors 
2022-04-16 ,leafem,'leaflet' Extensions for 'mapview' 
2022-04-16 ,lsirm12pl,Latent Space Item Response Model 
2022-04-16 ,mapview,Interactive Viewing of Spatial Data in R 
2022-04-16 ,morphemepiece,Morpheme Tokenization 
2022-04-16 ,optCluster,Determine Optimal Clustering Algorithm and Number of Clusters 
2022-04-16 ,refund,Regression with Functional Data 
2022-04-16 ,ribd,Pedigree-based Relatedness Coefficients 
2022-04-16 ,riskSimul,Risk Quantification for Stock Portfolios under the T-Copula Model 
2022-04-16 ,SNPfiltR,Interactively Filter SNP Datasets 
2022-04-16 ,SOPC,The Sparse Online Principal Component Estimation Algorithm 
2022-04-16 ,xgboost,Extreme Gradient Boosting 
2022-04-15 ,bookdown,Authoring Books and Technical Documents with R Markdown 
2022-04-15 ,crossnma,Cross-Design & Cross-Format Network Meta-Analysis and Regression 
2022-04-15 ,DDL,Doubly Debiased Lasso (DDL) 
2022-04-15 ,dtwclust,Time Series Clustering Along with Optimizations for the Dynamic Time Warping Distance 
2022-04-15 ,exactextractr,Fast Extraction from Raster Datasets using Polygons 
2022-04-15 ,frequentistSSD,Screened Selection Design with Survival Endpoints 
2022-04-15 ,furniture,Furniture for Quantitative Scientists 
2022-04-15 ,gjam,Generalized Joint Attribute Modeling 
2022-04-15 ,glmnet,Lasso and Elastic-Net Regularized Generalized Linear Models 
2022-04-15 ,haven,"Import and Export 'SPSS', 'Stata' and 'SAS' Files "
2022-04-15 ,MarginalMediation,Marginal Mediation 
2022-04-15 ,MiMIR,Metabolomics-Based Models for Imputing Risk 
2022-04-15 ,neo2R,Neo4j to R 
2022-04-15 ,OptionPricing,Option Pricing with Efficient Simulation Algorithms 
2022-04-15 ,overviewR,Easily Extracting Information About Your Data 
2022-04-15 ,paramlink,Parametric Linkage and Other Pedigree Analysis in R 
2022-04-15 ,plot3logit,Ternary Plots for Trinomial Regression Models 
2022-04-15 ,randomForestSRC,"Fast Unified Random Forests for Survival, Regression, and Classification (RF-SRC) "
2022-04-15 ,rconfig,Manage R Configuration at the Command Line 
2022-04-15 ,readabs,Download and Tidy Time Series Data from the Australian Bureau of Statistics 
2022-04-15 ,rlemon,R Access to LEMON Graph Algorithms 
2022-04-15 ,runjags,"Interface Utilities, Model Templates, Parallel Computing Methods and Additional Distributions for MCMC Models in JAGS "
2022-04-15 ,ShinyItemAnalysis,Test and Item Analysis via Shiny 
2022-04-15 ,skimr,Compact and Flexible Summaries of Data 
2022-04-15 ,success,Survival Control Charts Estimation Software 
2022-04-15 ,tableone,Create 'Table 1' to Describe Baseline Characteristics with or without Propensity Score Weights 
2022-04-15 ,villager,A Framework for Designing and Running Agent Based Models 
2022-04-15 ,WallomicsData,Datasets for Multi-Omics Integration in a Plant Abiotic Stress Context 
2022-04-15 ,wodds,Calculates Whisker Odds 
2022-04-15 ,zoo,S3 Infrastructure for Regular and Irregular Time Series (Z's Ordered Observations) 
2022-04-14 ,AQEval,Air Quality Evaluation 
2022-04-14 ,biometryassist,Functions to Assist Design and Analysis of Agronomic Experiments 
2022-04-14 ,DCEtool,Efficient and Accessible Discrete Choice Experiments 
2022-04-14 ,deSolve,"Solvers for Initial Value Problems of Differential Equations ('ODE', 'DAE', 'DDE') "
2022-04-14 ,hmer,History Matching and Emulation Package 
2022-04-14 ,influential,Identification and Classification of the Most Influential Nodes 
2022-04-14 ,itscalledsoccer,American Soccer Analysis API Client 
2022-04-14 ,kayadata,Kaya Identity Data for Nations and Regions 
2022-04-14 ,ks,Kernel Smoothing 
2022-04-14 ,Matching,Multivariate and Propensity Score Matching with Balance Optimization 
2022-04-14 ,metadynminer,"Tools to Read, Analyze and Visualize Metadynamics HILLS Files from 'Plumed' "
2022-04-14 ,metadynminer3d,"Tools to Read, Analyze and Visualize Metadynamics 3D HILLS Files from 'Plumed' "
2022-04-14 ,migraph,Multimodal and Multilevel Network Analysis 
2022-04-14 ,missForest,Nonparametric Missing Value Imputation using Random Forest 
2022-04-14 ,modelsummary,"Summary Tables and Plots for Statistical Models and Data: Beautiful, Customizable, and Publication-Ready "
2022-04-14 ,MultiATSM,Multicountry Term Structure of Interest Rates Models 
2022-04-14 ,neonUtilities,Utilities for Working with NEON Data 
2022-04-14 ,nonmem2R,Loading NONMEM Output Files with Functions for Visual Predictive Checks (VPC) and Goodness of Fit (GOF) Plots 
2022-04-14 ,pald,Partitioned Local Depths for Community Structure in Data 
2022-04-14 ,phenmod,"Auxiliary Functions for Phenological Data Processing, Modelling and Result Handling "
2022-04-14 ,pks,Probabilistic Knowledge Structures 
2022-04-14 ,POT,Generalized Pareto Distribution and Peaks Over Threshold 
2022-04-14 ,psychmeta,Psychometric Meta-Analysis Toolkit 
2022-04-14 ,Rpolyhedra,Polyhedra Database 
2022-04-14 ,RSQL,Database Agnostic Package to Generate and Process 'SQL' Queries in R 
2022-04-14 ,sgr,Sample Generation by Replacement 
2022-04-14 ,shinyTempSignal,Explore Temporal Signal of Molecular Phylogenies 
2022-04-14 ,soilDB,Soil Database Interface 
2022-04-14 ,SoilTesting,Organic Carbon and Plant Available Nutrient Contents in Soil 
2022-04-14 ,synlik,Synthetic Likelihood Methods for Intractable Likelihoods 
2022-04-14 ,tgstat,Amos Tanay's Group High Performance Statistical Utilities 
2022-04-14 ,tidySEM,Tidy Structural Equation Modeling 
2022-04-14 ,webshot,Take Screenshots of Web Pages 
2022-04-13 ,Allspice,RNA-Seq Profile Classifier 
2022-04-13 ,brms,Bayesian Regression Models using 'Stan' 
2022-04-13 ,broom,Convert Statistical Objects into Tidy Tibbles 
2022-04-13 ,bruceR,Broadly Useful Convenient and Efficient R Functions 
2022-04-13 ,caribou,Estimation of Caribou Abundance Based on Radio Telemetry Data 
2022-04-13 ,cartogramR,Continuous Cartogram 
2022-04-13 ,crossrun,Joint Distribution of Number of Crossings and Longest Run 
2022-04-13 ,cutpointr,Determine and Evaluate Optimal Cutpoints in Binary Classification Tasks 
2022-04-13 ,Dasst,"Tools for Reading, Processing and Writing 'DSSAT' Files "
2022-04-13 ,deforestable,Classify RGB Images into Forest or Non-Forest 
2022-04-13 ,dlstats,Download Stats of R Packages 
2022-04-13 ,dowser,B Cell Receptor Phylogenetics Toolkit 
2022-04-13 ,drat,'Drat' R Archive Template 
2022-04-13 ,dynatop,An Implementation of Dynamic TOPMODEL Hydrological Model in R 
2022-04-13 ,dynatopGIS,Algorithms for Helping Build Dynamic TOPMODEL Implementations from Spatial Data 
2022-04-13 ,EcoTroph,An Implementation of the EcoTroph Ecosystem Modelling Approach 
2022-04-13 ,embed,Extra Recipes for Encoding Predictors 
2022-04-13 ,enveomics.R,Various Utilities for Microbial Genomics and Metagenomics 
2022-04-13 ,Epi,Statistical Analysis in Epidemiology 
2022-04-13 ,hutils,Miscellaneous R Functions and Aliases 
2022-04-13 ,IFAA,Robust Inference for Absolute Abundance in Microbiome Analysis 
2022-04-13 ,kequate,The Kernel Method of Test Equating 
2022-04-13 ,lars,"Least Angle Regression, Lasso and Forward Stagewise "
2022-04-13 ,LTASR,Functions to Replicate the Center for Disease Control and Prevention's 'LTAS' Software in R 
2022-04-13 ,MAGEE,Mixed Model Association Test for GEne-Environment Interaction 
2022-04-13 ,MCMCpack,Markov Chain Monte Carlo (MCMC) Package 
2022-04-13 ,mem,The Moving Epidemic Method 
2022-04-13 ,MGLM,Multivariate Response Generalized Linear Models 
2022-04-13 ,minpack.lm,"R Interface to the Levenberg-Marquardt Nonlinear Least-Squares Algorithm Found in MINPACK, Plus Support for Bounds "
2022-04-13 ,mlogitBMA,Bayesian Model Averaging for Multinomial Logit Models 
2022-04-13 ,mstrio,Interface for 'MicroStrategy' REST API 
2022-04-13 ,neptune,MLOps Metadata Store - Experiment Tracking and Model Registry for Production Teams 
2022-04-13 ,opendatatoronto,Access the City of Toronto Open Data Portal 
2022-04-13 ,RAMClustR,Mass Spectrometry Metabolomics Feature Clustering and Interpretation 
2022-04-13 ,ReDaMoR,Relational Data Modeler 
2022-04-13 ,RFCCA,Random Forest with Canonical Correlation Analysis 
2022-04-13 ,RNentropy,Entropy Based Method for the Detection of Significant Variation in Gene Expression Data 
2022-04-13 ,ROpenCVLite,Helper Package for Installing OpenCV with R 
2022-04-13 ,scales,Scale Functions for Visualization 
2022-04-13 ,spOccupancy,"Single-Species, Multi-Species, and Integrated Spatial Occupancy Models "
2022-04-13 ,spooky,Time Feature Extrapolation Using Spectral Analysis and Jack-Knife Resampling 
2022-04-13 ,stratallo,Optimum Sample Allocation in Stratified Sampling Schemes 
2022-04-13 ,stringfish,Alt String Implementation 
2022-04-13 ,svines,Stationary Vine Copula Models 
2022-04-13 ,tiledb,Universal Storage Engine for Sparse and Dense Multidimensional Arrays 
2022-04-13 ,UCSCXenaShiny,Interactive Analysis of UCSC Xena Data 
2022-04-13 ,UNF,Tools for Creating Universal Numeric Fingerprints for Data 
2022-04-13 ,vctrs,Vector Helpers 
2022-04-13 ,wrMisc,Analyze Experimental High-Throughput (Omics) Data 
2022-04-13 ,yorkr,Analyze Cricket Performances Based on Data from Cricsheet 
2022-04-12 ,abclass,Angle-Based Large-Margin Classifiers 
2022-04-12 ,aRchi,Quantitative Structural Model ('QSM') Treatment for Tree Architecture 
2022-04-12 ,BRINDA,Computation of BRINDA Adjusted Micronutrient Biomarkers for Inflammation 
2022-04-12 ,ccdrAlgorithm,CCDr Algorithm for Learning Sparse Gaussian Bayesian Networks 
2022-04-12 ,confreq,Configural Frequencies Analysis Using Log-Linear Modeling 
2022-04-12 ,dmdScheme,Domain Specific MetaData Scheme 
2022-04-12 ,DTDA.ni,"Doubly Truncated Data Analysis, Non Iterative "
2022-04-12 ,DynamicGP,Modelling and Analysis of Dynamic Computer Experiments 
2022-04-12 ,evd,Functions for Extreme Value Distributions 
2022-04-12 ,experiment,R Package for Designing and Analyzing Randomized Experiments 
2022-04-12 ,extrafont,Tools for Using Fonts 
2022-04-12 ,glottospace,Language Mapping and Geospatial Analysis of Linguistic and Cultural Data 
2022-04-12 ,itdr,Integral Transformation Methods for SDR in Regression 
2022-04-12 ,jti,Junction Tree Inference 
2022-04-12 ,Linkage,Clustering Communication Networks Using the Stochastic Topic Block Model Through Linkage.fr 
2022-04-12 ,locStra,Fast Implementation of (Local) Population Stratification Methods 
2022-04-12 ,lpint,Local Polynomial Estimators of the Intensity Function and Its Derivatives 
2022-04-12 ,mapboxapi,R Interface to 'Mapbox' Web Services 
2022-04-12 ,metaMA,Meta-Analysis for MicroArrays 
2022-04-12 ,mind,Multivariate Model Based Inference for Domains 
2022-04-12 ,mlr3tuningspaces,Search Spaces for Hyperparameter Tuning 
2022-04-12 ,nlsic,Non Linear Least Squares with Inequality Constraints 
2022-04-12 ,nzilbb.labbcat,Accessing Data Stored in 'LaBB-CAT' Instances 
2022-04-12 ,parallelPlot,'Htmlwidget' for a Parallel Coordinates Plot 
2022-04-12 ,PMAPscore,Identify Prognosis-Related Pathways Altered by Somatic Mutation 
2022-04-12 ,protti,Bottom-Up Proteomics and LiP-MS Quality Control and Data Analysis Tools 
2022-04-12 ,pso,Particle Swarm Optimization 
2022-04-12 ,reshape,Flexibly Reshape Data 
2022-04-12 ,rmsb,Bayesian Regression Modeling Strategies 
2022-04-12 ,RMTstat,"Distributions, Statistics and Tests Derived from Random Matrix Theory "
2022-04-12 ,sen2r,"Find, Download and Process Sentinel-2 Data "
2022-04-12 ,SMVar,Structural Model for Variances 
2022-04-12 ,sparta,Sparse Tables 
2022-04-12 ,stevemisc,Steve's Miscellaneous Functions 
2022-04-12 ,subplex,Unconstrained Optimization using the Subplex Algorithm 
2022-04-12 ,taxa,Classes for Storing and Manipulating Taxonomic Data 
2022-04-12 ,text2map,"R Tools for Text Matrices, Embeddings, and Networks "
2022-04-12 ,valet,Provide R Client to the Bank of Canada's Valet API 
2022-04-12 ,VennDiagram,Generate High-Resolution Venn and Euler Plots 
2022-04-11 ,aqp,Algorithms for Quantitative Pedology 
2022-04-11 ,BayesMallows,Bayesian Preference Learning with the Mallows Rank Model 
2022-04-11 ,betafunctions,Functions for Working with Two- And Four-Parameter Beta Probability Distributions 
2022-04-11 ,bigtabulate,"Table, Apply, and Split Functionality for Matrix and 'big.matrix' Objects "
2022-04-11 ,blsR,Make Requests from the Bureau of Labor Statistics API 
2022-04-11 ,Bolstad2,Bolstad Functions 
2022-04-11 ,CA3variants,Three-Way Correspondence Analysis Variants 
2022-04-11 ,cNORM,Continuous Norming 
2022-04-11 ,conos,Clustering on Network of Samples 
2022-04-11 ,crqa,Recurrence Quantification Analysis for Categorical and Continuous Time-Series 
2022-04-11 ,dafs,Data Analysis for Forensic Scientists 
2022-04-11 ,derivmkts,Functions and R Code to Accompany Derivatives Markets 
2022-04-11 ,dlookr,"Tools for Data Diagnosis, Exploration, Transformation "
2022-04-11 ,drawer,An Interactive HTML Image Editing Tool 
2022-04-11 ,DTMCPack,Suite of Functions Related to Discrete-Time Discrete-State Markov Chains 
2022-04-11 ,DynClust,Denoising and Clustering for Dynamical Image Sequence (2D or 3D)+t 
2022-04-11 ,EvolutionaryGames,Important Concepts of Evolutionary Game Theory 
2022-04-11 ,ExceedanceTools,Confidence/Credible Regions for Exceedance Sets and Contour Lines 
2022-04-11 ,findInFiles,Find Pattern in Files 
2022-04-11 ,freealg,The Free Algebra 
2022-04-11 ,funLBM,Model-Based Co-Clustering of Functional Data 
2022-04-11 ,gridGraphviz,Drawing Graphs with 'grid' 
2022-04-11 ,leafdown,Provides Drill Down Functionality for 'leaflet' Choropleths 
2022-04-11 ,leidenAlg,Implements the Leiden Algorithm via an R Interface 
2022-04-11 ,Libra,Linearized Bregman Algorithms for Generalized Linear Models 
2022-04-11 ,maGUI,A Graphical User Interface for Microarray Data Analysis and Annotation 
2022-04-11 ,malvinas,"Islas Malvinas, Georgias Del Sur y Sándwich Del Sur "
2022-04-11 ,metafolio,Metapopulation Simulations for Conserving Salmon Through Portfolio Optimization 
2022-04-11 ,mreg,Fits Regression Models When the Outcome is Partially Missing 
2022-04-11 ,mregions,Marine Regions Data from 'Marineregions.org' 
2022-04-11 ,MRPC,PC Algorithm with the Principle of Mendelian Randomization 
2022-04-11 ,MTS,All-Purpose Toolkit for Analyzing Multivariate Time Series (MTS) and Estimating Multivariate Volatility Models 
2022-04-11 ,neo4jshell,Querying and Managing 'Neo4J' Databases in 'R' 
2022-04-11 ,NIMAA,Nominal Data Mining Analysis 
2022-04-11 ,nltm,Non-Linear Transformation Models 
2022-04-11 ,Oncotree,Estimating Oncogenetic Trees 
2022-04-11 ,pak,Another Approach to Package Installation 
2022-04-11 ,phosphoricons,'Phosphor' Icons for R 
2022-04-11 ,plainview,Plot Raster Images Interactively on a Plain HTML Canvas 
2022-04-11 ,Platypus,Single-Cell Immune Repertoire and Gene Expression Analysis 
2022-04-11 ,polynom,A Collection of Functions to Implement a Class for Univariate Polynomial Manipulations 
2022-04-11 ,pomp,Statistical Inference for Partially Observed Markov Processes 
2022-04-11 ,rbibutils,Read 'Bibtex' Files and Convert Between Bibliography Formats 
2022-04-11 ,RcppEnsmallen,Header-Only C++ Mathematical Optimization Library for 'Armadillo' 
2022-04-11 ,redistmetrics,Redistricting Metrics 
2022-04-11 ,rgbif,Interface to the Global Biodiversity Information Facility API 
2022-04-11 ,rgeoda,R Library for Spatial Data Analysis 
2022-04-11 ,ridge,Ridge Regression with Automatic Selection of the Penalty Parameter 
2022-04-11 ,robslopes,Fast Algorithms for Robust Slopes 
2022-04-11 ,rstan,R Interface to Stan 
2022-04-11 ,scatterPlotMatrix,'Htmlwidget' for a Scatter Plot Matrix 
2022-04-11 ,SDaA,Sampling: Design and Analysis 
2022-04-11 ,segmented,Regression Models with Break-Points / Change-Points Estimation 
2022-04-11 ,SEMgraph,Network Analysis and Causal Inference Through Structural Equation Modeling 
2022-04-11 ,slideview,Compare Raster Images Side by Side with a Slider 
2022-04-11 ,stellaR,Evolutionary Tracks and Isochrones from Pisa Stellar Evolution Database 
2022-04-11 ,SWMPrExtension,Functions for Analyzing and Plotting Estuary Monitoring Data 
2022-04-11 ,timbeR,Calculate Wood Volumes from Taper Functions 
2022-04-11 ,timereg,Flexible Regression Models for Survival Data 
2022-04-11 ,workboots,Generate Bootstrap Prediction Intervals from a 'tidymodels' Workflow 
2022-04-10 ,BEDASSLE,Quantifies Effects of Geo/Eco Distance on Genetic Differentiation 
2022-04-10 ,blob,A Simple S3 Class for Representing Vectors of Binary Data ('BLOBS') 
2022-04-10 ,ggeffects,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs 
2022-04-10 ,ggpmisc,Miscellaneous Extensions to 'ggplot2' 
2022-04-10 ,ggpp,Grammar Extensions to 'ggplot2' 
2022-04-10 ,IBrokers,R API to Interactive Brokers Trader Workstation 
2022-04-10 ,IRISSeismic,Classes and Methods for Seismic Data Analysis 
2022-04-10 ,nasapower,NASA POWER API Client 
2022-04-10 ,psre,Presenting Statistical Results Effectively 
2022-04-10 ,R1magic,Compressive Sampling: Sparse Signal Recovery Utilities 
2022-04-10 ,randomGLM,Random General Linear Model Prediction 
2022-04-10 ,riAFTBART,A Flexible Approach for Causal Inference with Multiple Treatments and Clustered Survival Outcomes 
2022-04-10 ,rtmpt,Fitting RT-MPT Models 
2022-04-10 ,sem,Structural Equation Models 
2022-04-10 ,sjlabelled,Labelled Data Utility Functions 
